,Screen_name,UserID,TweetID,Coords,Lat,Lon,Created_At,Text,Labels
298,iper_activ,327294213,782222280571097088,"[43.71252145, 10.40613225]",43.71252145,10.40613225,Sat Oct 01 14:14:59 +0000 2016,Il momento tanto atteso: #gioco #voucher #badge #cosedafestival #IF2016 #instawork #instamoment… https://t.co/FjBpUWWNzU,-1
299,iper_activ,327294213,781494469191426048,"[43.71252145, 10.40613225]",43.71252145,10.40613225,Thu Sep 29 14:02:55 +0000 2016,Lo staff di #IF2016 non proprio al completo! Ma come saremo belli?! ❤️#work #workinghard… https://t.co/kyAXebUoE8,-1
300,GBohemia,301860484,782184287143682048,"[43.72267923, 10.39542451]",43.72267923,10.39542451,Sat Oct 01 11:44:00 +0000 2016,The largest baptistry in Italy dedicated to St. John the baptist. A… https://t.co/ucVtHUpRfK,3
301,shinyicko,2325336984,780061473032790016,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sun Sep 25 15:08:42 +0000 2016,#leaningtower #torredipisa #torrependente #italianart #pisa #tuscany #toscana #italianbeauty… https://t.co/dwq84pBtac,3
302,abernqthy,180764826,780670246122352641,"[43.7167, 10.3833]",43.7167,10.3833,Tue Sep 27 07:27:45 +0000 2016,"vita nova #uni @ Pisa, Italy https://t.co/LdroSJkyFi",1
303,erkutbulbul,1493707218,779753712952676352,"[43.72305556, 10.39641667]",43.72305556,10.39641667,Sat Sep 24 18:45:46 +0000 2016,#pisa #arkamda #egildi 😱 @ Leaning Tower of Pisa https://t.co/328lS5sCBv,3
304,LuCappelletto,316431558,782699619977457666,"[43.7225109, 10.3960052]",43.7225109,10.3960052,Sun Oct 02 21:51:45 +0000 2016,"Just posted a photo @ Piazza Dei Miracoli, Pisa https://t.co/LLbCoYoNcD",3
305,SimonaMezzedimi,929721415,779300240088264704,"[43.72011437, 10.39755885]",43.72011437,10.39755885,Fri Sep 23 12:43:50 +0000 2016,My moka is better than yours. #sixties #cimeli #yesterday #lastdayinpisa #moka #caffècaffècaffè… https://t.co/mSbIbMj9Fs,3
306,AlvMartinez,274098039,779074229631348740,"[43.7167, 10.3833]",43.7167,10.3833,Thu Sep 22 21:45:45 +0000 2016,"Buonanotte
Pisa!

󾓩 @ Pisa, Italy https://t.co/75Xtk0QxQA",1
307,AlvMartinez,274098039,779232362454458368,"[43.7225109, 10.3960052]",43.7225109,10.3960052,Fri Sep 23 08:14:07 +0000 2016,"Mamma Mia!
🇮🇹 @ Piazza Dei Miracoli, Pisa https://t.co/Vq15OxZEb1",3
